Utterance,Intent
"No. I require the travel time, price, and train ID.",4
"I'm looking for a place to dine, preferably an Indian restaurant.",3
"I'd like something cheap and in the centre, please.",3
"Yes, please. I'd like a table for 1 on wednesday at 12:15 at The Kohinoor.",2
"Yes, please. I'd like a table for 1 on wednesday at 12:15 at The Kohinoor.",4
How about 11:15?,2
"Yes, could you also book me a taxi to the nearest hotel?",4
"Yes, could you also book me a taxi to the nearest hotel?",1
"Hi I'm looking to find a guest house with free Wi-Fi, any suggestions?",1
"I am open to any area of town; however, I would like a 3 star hotel and would also like it to have a guesthouse.",1
"I am open to any area of town; however, I would like a 3 star hotel and would also like it to have a guesthouse.",4
Can you suggest one please that meets all of my criteria?,1
I do not have a preference on location.,1
No thank you. I also need a place to go.,4
i need some entertainment,4
"The area doesn't matter, can you suggest something to me?",4
Can you help me find an expensive restaurant in the center of town?,3
"Do you have a favorite you can recommend? Please provide their phone number, thank you.",3
i am also looking for a train. The train should depart from stansted airport and should arrive by 19:30.,4
It's just myself for Tuesday.,4
I didn't even tell you where I was traveling. Is that train traveling to Cambridge?,4
"Yes, sorry for being rude. I need the travel time and price as well please.",4
I need a taxi to pick me up from the fez club. Can you help?,4
"Yes, I need to arrive by 18:45.",4
I would like to be taken to tenpin,4
I'm looking for a particular restaurant. It's called hotel du vin and bistro.,3
"Yes, and please include the area and postcode.",3
Yes please. I am also looking for a train that leaves wednesday from birmingham new street as well if that's not too much trouble?,4
I would like to arrive by 13:45 in Cambridge if possible.,4
The earliest train is alright with me.,4
"Yes, please, for one. And could you give me the reference number, please?",4
i'm looking for el shaddai,1
Yes I would love that. I need to book it starting on Saturday for 4 nights for 4 people.,0
"Yes, I need a entrance fee and area",0
"Yes, I need a entrance fee and area",4
Yes I am looking for a nightclub.,4
"It doesn't matter, pick one for me and I'll need the area and entrance fee please.",4
I need a taxi to Anatoilia.,4
I'm be leaving from kymmoy.,4
I need to leave after 22:00.,4
I need to book a taxi to arrive at Ruskin Gallery by 21:45.,4
I am going to be leaving from the Ruskin gallery.,4
I am going to be leaving from the Ruskin gallery.,4
I am leaving from Ruskin Gallery.,4
I will be going to magdalene college.,4
"Great, thanks. Can you confirm the time on that car? I just want to make sure I arrive at Magdalene College by 21:45.",4
I'd like to arrange for a taxi please,4
I'm leaving from jinling noodle bar and going to dojo noodle bar. I'm a noodle bar crawl!,4
It should leave after 11:15.,4
I am looking for a train that leaves on Saturday going to Cambridge.,4
I am looking for a train that leaves on Saturday going to Cambridge.,1
I am leaving Broxbourne and need to be in Cambridge by 10:30.,4
"10:30 is the time I want to arrive by. No later than that, please. I have prior obligations I need to meet.",4
"Oh, that's all right. No need to reserve my ticket. But I do need the travel time, please.",4
I'm also looking for a particular hotel - hobsons house. Can you help me with this?,1
"No, I'm sure it's just fine. Could you book a stay for eight, starting that same day?",0
8 people for 5 nights please.,0
I would like to book a train. I need to arrive by 17:15 and would like to leave on Wednesday.,4
I would like to book a train. I need to arrive by 17:15 and would like to leave on Wednesday.,3
"I am departing from the London Liverpool Street station, and want arrive at the Cambridge Station.",4
Sounds perfect. Could you make me a booking for 4 people?,4
I'm looking for a restaurant. The restaurant should serve british food and should be in the expensive price range,3
I would like for it to be in the west.,3
Can you tell me which two they are?,3
recommend any and book it for me,3
"Yes please, it's for the 4 of us at 20:30 on the same day we get in.",2
I was wondering if you could help me find a restaurant in Cambridge?,3
Actually can you help look for a park in the south area?,4
I need to know if there's an entrance fee and I also need the phone number. I'm also looking for a restaurant called La Mimosa.,3
I need to know if there's an entrance fee and I also need the phone number. I'm also looking for a restaurant called La Mimosa.,4
Great. I am looking for a particular restaurant named la mimosa and I would like to book a table for 7 people.,2
"I'd like to dine at 16:00 on Friday, please.",2
"Yes, can you give me the reference number on that reservation please?",2
Could you help me find a good nightclub in the center of town?,4
"Im not familiar to the area, so I will try any nightclub that you suggest, I just need the phone number and postal of whatever you pick.",4
i'm also looking for a train.,4
I am headed to Cambridge on Tuesday from Peterborough,4
The train should leave after 11:00.,4
"No need for tickets. But can I get the arrival time, travel time and price?",4
"Hi, I'm looking for an Italian restaurant near the centre.",3
"Yes, I would like an expensive restaurant, please.",3
I also need a table for 7 at 14:15 on friday,2
What about for 13:15 instead? Can I also get the reference number please?,2
"Thank you, I'm also looking to book a train leaving on Saturday, that will arrive to my destination by 18:15.",4
I will be departing Cambridge for Stevenage.,4
I want to arrive by 18:15 so 18:10 would be perfect for me.,4
"I don't need to book now. I just need the departure time, train ID, and travel time for that train, please.",4
I'm looking for this place called rice house,3
"No, just give me their phone number please, I'm ordering take-out.",3
"Yes, can you help me find info for a train going into Cambridge please?",4
I need to leave London Liverpool Street around 08:30 on Thursday.,4
Can you give me the arrival time of one of the trains?,4
Can you please book it for me?,4
I would like you to book 4 tickets for me. Thanks.,4
I'm looking for a train the departs from bishops stortford leaving after 18:30.,4
Im going to cambridge on thursday,4
Im going to cambridge on thursday,1
"Yes, that would be fine. I'll need to book two tickets, please.",4
Yes. I am looking for a hotel called carolina bed and breakfast.,1
"Yes please, 2 people for 3 nights beginning Thursday. Get me the reference number too.",0
"Yes please, 2 people for 3 nights beginning Thursday. Get me the reference number too.",4
Hello looking for a good train that leaves on saturday after 19:00.,4
I'm departing from Cambridge.,4
I am going to Leicester after 19:00 on saturday.,4
Yes that works make a booking for 5 people. Please provide a reference number. I need information on people's portraits exhibition at girton college too.,4
Yes that works make a booking for 5 people. Please provide a reference number. I need information on people's portraits exhibition at girton college too.,4
I need the postcode and attraction type?,4
I am looking for a place to dine. The restaurant should be in the expensive price range and should serve british food.,3
